ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR011645-45,FULL_STACK,T300,yes,50,68073.00,68051.43,1,1,50.0,3.50,46.50
KXBTC15M-26APR011630-30,FULL_STACK,T300,yes,43,68089.19,68082.10,0,0,-43.0,3.43,-46.43
KXBTC15M-26APR011430-30,FULL_STACK,T300,yes,31,68130.31,68109.74,0,0,-31.0,2.99,-33.99
KXBTC15M-26APR011345-45,FULL_STACK,T300,no,76,68330.43,68493.66,0,1,24.0,2.55,21.45
KXBTC15M-26APR011130-30,FULL_STACK,T300,yes,72,68631.17,68468.58,1,1,28.0,2.82,25.18
KXBTC15M-26APR011015-15,FULL_STACK,T300,yes,73,68282.17,68105.08,1,1,27.0,2.76,24.24
KXBTC15M-26APR010900-00,FULL_STACK,T300,yes,60,68512.00,68330.53,1,1,40.0,3.36,36.64
KXBTC15M-26APR010745-45,FULL_STACK,T300,yes,32,68563.93,68576.73,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR010730-30,FULL_STACK,T300,yes,31,68613.89,68593.83,0,0,-31.0,2.99,-33.99
KXBTC15M-26APR010530-30,FULL_STACK,T300,yes,36,68485.62,68480.82,1,1,64.0,3.23,60.77
KXBTC15M-26APR010500-00,FULL_STACK,T300,yes,36,68756.38,68740.26,0,0,-36.0,3.23,-39.23
KXBTC15M-26APR010430-30,FULL_STACK,T300,yes,35,68591.36,68564.54,1,1,65.0,3.19,61.81
KXBTC15M-26APR010245-45,FULL_STACK,T300,yes,77,68960.57,68829.14,1,1,23.0,2.48,20.52
KXBTC15M-26APR010215-15,FULL_STACK,T300,yes,61,68532.23,68420.87,1,1,39.0,3.33,35.67
KXBTC15M-26APR010100-00,FULL_STACK,T300,yes,74,68328.34,68184.87,1,1,26.0,2.69,23.31
KXBTC15M-26APR010030-30,FULL_STACK,T300,yes,66,68139.51,68028.05,1,1,34.0,3.14,30.86
