ticker,entry_ts,side,entry_c,fair_for_side,spread_c,baseline_c,btc_dist_signed_pct,btc_dist_abs_pct,session_age_s,btc_5m_move,btc_15m_move,aligned_with_btc5m,hour_utc,exit_reason,exit_c,fill_at_s,net_c
KXBTC15M-26MAR310345-45,1774942320,yes,42,75,33,49,0.1365,0.1365,120,176.46,167.63,1,7,SL,21,240,-24.33
KXBTC15M-26MAR310330-30,1774941420,no,67,79,5,33,-0.1458,0.1458,120,-124.13,-360.24,1,7,TP,97,480,28.25
KXBTC15M-26MAR310315-15,1774940520,yes,38,78,40,38,0.1116,0.1116,120,15.02,116.17,1,7,SL,19,300,-22.16
KXBTC15M-26MAR310245-45,1774938720,yes,55,75,17,55,0.0988,0.0988,120,63.94,-108.73,1,6,SL,40,240,-19.08
KXBTC15M-26MAR310230-30,1774937820,yes,42,80,38,50,0.1276,0.1276,120,-7.23,-161.82,0,6,SL,31,180,-14.80
KXBTC15M-26MAR310215-15,1774936920,yes,31,67,36,35,0.0715,0.0715,120,3.35,-61.96,1,6,SL,22,120,-12.18
KXBTC15M-26MAR310200-00,1774936620,yes,69,92,10,69,0.1170,0.1170,720,-69.62,3.93,0,5,PRE_EXP,95,120,24.04
KXBTC15M-26MAR310145-45,1774935120,yes,42,68,26,43,0.0887,0.0887,120,82.74,238.79,1,5,SL,27,60,-18.64
KXBTC15M-26MAR310130-30,1774934220,yes,44,55,11,47,0.0308,0.0308,120,-91.41,-40.43,0,5,TP,74,300,26.93
KXBTC15M-26MAR310115-15,1774933380,yes,26,64,38,40,0.0839,0.0839,180,17.97,-115.94,1,5,TP,56,120,26.93
KXBTC15M-26MAR310100-00,1774932720,yes,59,75,5,59,0.1285,0.1285,420,-31.55,16.91,0,4,SL,38,120,-25.00
KXBTC15M-26MAR310030-30,1774931220,no,20,43,23,77,0.0194,0.0194,720,-303.24,-47.58,1,4,TP,50,60,27.13
KXBTC15M-26MAR310015-15,1774929720,no,38,53,5,62,-0.0161,0.0161,120,-89.72,-99.10,1,4,TP,68,180,26.83
KXBTC15M-26MAR310000-00,1774928820,yes,51,68,12,51,0.0958,0.0958,120,73.85,-68.82,1,3,SL,36,60,-19.01
KXBTC15M-26MAR302345-45,1774927920,yes,42,55,9,42,0.0235,0.0235,120,-61.62,-116.90,0,3,SL,29,300,-16.72
KXBTC15M-26MAR302330-30,1774927020,yes,50,70,20,53,0.1010,0.1010,120,-26.33,-0.10,0,3,SL,41,120,-13.12
KXBTC15M-26MAR302315-15,1774926120,yes,18,45,27,19,-0.0249,0.0249,120,-119.86,-64.11,0,3,SL,6,120,-13.59
KXBTC15M-26MAR302300-00,1774925220,yes,58,70,11,58,0.1108,0.1108,120,81.78,2.87,1,2,SL,45,60,-17.13
KXBTC15M-26MAR302245-45,1774924320,yes,36,53,17,44,0.0241,0.0241,120,-31.31,-88.51,0,2,SL,10,120,-28.49
KXBTC15M-26MAR302215-15,1774922520,yes,30,47,17,38,-0.0345,0.0345,120,-131.86,76.93,0,2,SL,18,60,-14.92
KXBTC15M-26MAR302200-00,1774921800,yes,36,47,11,38,-0.0243,0.0243,300,-91.30,-301.97,0,1,SL,23,60,-16.35
KXBTC15M-26MAR302115-15,1774919100,no,32,46,12,68,0.0322,0.0322,300,-107.68,-71.78,1,1,TP,62,60,26.83
KXBTC15M-26MAR302045-45,1774917420,yes,56,75,1,56,0.1163,0.1163,420,46.10,83.44,1,0,TP,86,120,27.43
KXBTC15M-26MAR302030-30,1774916220,no,58,63,1,42,-0.0412,0.0412,120,0.00,-224.35,0,0,SL,44,240,-18.12
KXBTC15M-26MAR302015-15,1774915320,yes,30,72,42,32,0.1317,0.1317,120,43.72,74.25,1,0,TP,60,180,26.85
KXBTC15M-26MAR302000-00,1774914420,yes,45,57,9,45,0.0390,0.0390,120,-26.45,19.88,0,23,SL,31,60,-17.83
KXBTC15M-26MAR301945-45,1774913520,yes,44,64,20,45,0.0878,0.0878,120,42.25,178.57,1,23,TP,74,300,26.93
KXBTC15M-26MAR301915-15,1774911720,yes,11,44,33,20,-0.0276,0.0276,120,-14.35,-119.42,0,23,SL,2,120,-9.88
KXBTC15M-26MAR301900-00,1774910820,yes,45,68,22,45,0.0793,0.0793,120,22.83,-24.03,1,22,SL,17,60,-31.12
KXBTC15M-26MAR301845-45,1774909920,yes,29,72,43,29,0.1307,0.1307,120,0.00,2.58,0,22,TP,59,600,26.87
KXBTC15M-26MAR301830-30,1774909200,yes,46,69,19,46,0.0994,0.0994,300,22.61,-156.73,1,22,TP,76,180,26.98
KXBTC15M-26MAR301815-15,1774908540,no,32,53,3,68,-0.0137,0.0137,540,-204.47,-127.66,1,22,TP,62,60,26.83
KXBTC15M-26MAR301800-00,1774907220,yes,32,52,20,35,0.0115,0.0115,120,-102.54,9.57,0,21,SL,23,420,-12.26
KXBTC15M-26MAR301745-45,1774906320,yes,40,67,27,41,0.0736,0.0736,120,-26.95,-5.35,0,21,TP,70,420,26.85
KXBTC15M-26MAR301730-30,1774905480,yes,67,80,4,67,0.1329,0.1329,180,76.36,207.59,1,21,TP,97,300,28.25
KXBTC15M-26MAR301715-15,1774904520,yes,41,66,25,43,0.0627,0.0627,120,4.10,-7.98,1,21,SL,31,120,-13.79
KXBTC15M-26MAR301700-00,1774903620,yes,45,62,14,45,0.0653,0.0653,120,20.80,14.27,1,20,SL,33,60,-15.90
KXBTC15M-26MAR301645-45,1774902720,yes,51,59,4,51,0.0474,0.0474,120,49.58,-36.47,1,20,SL,31,60,-23.85
KXBTC15M-26MAR301630-30,1774901940,yes,42,60,18,46,0.0510,0.0510,240,-86.05,43.59,0,20,TP,72,120,26.88
KXBTC15M-26MAR301615-15,1774901040,yes,64,72,4,64,0.1377,0.1377,240,58.75,225.50,1,20,TP,94,360,27.99
KXBTC15M-26MAR301600-00,1774900020,yes,51,60,8,51,0.0610,0.0610,120,27.66,23.82,1,19,TP,81,120,27.17
KXBTC15M-26MAR301545-45,1774899120,yes,54,63,9,54,0.0836,0.0836,120,21.45,-146.24,1,19,TP,84,720,27.32
KXBTC15M-26MAR301530-30,1774898220,yes,53,68,11,53,0.1197,0.1197,120,132.19,-202.95,1,19,SL,41,180,-16.11
