ticker,side,entry_c,fair_for_side,spread_c,baseline_c,mfe_c,mae_c,mfe_at_s,mae_at_s,final_bid_c,settled_yes,btc_dist_pct,closed_full,closed_half,closed_min,directional
KXBTC15M-26APR231345-45,no,58,66,4,42,100,41,540,180,100,0,0.1033,1,1,1,1
KXBTC15M-26APR231300-00,no,49,67,18,49,100,48,600,0,99,0,0.0871,1,1,1,1
KXBTC15M-26APR231245-45,yes,60,70,6,60,82,29,60,480,80,1,0.1085,1,1,1,1
KXBTC15M-26APR231230-30,no,43,57,14,53,50,3,300,660,5,1,0.0505,0,1,0,1
KXBTC15M-26APR231215-15,no,42,70,28,57,88,17,600,180,88,0,0.1370,1,1,1,1
KXBTC15M-26APR231145-45,no,48,64,16,42,48,0,0,720,0,1,0.1174,0,0,0,0
KXBTC15M-26APR231115-15,no,62,78,17,38,100,62,180,0,100,0,0.1371,1,1,1,1
KXBTC15M-26APR231100-00,no,34,46,12,66,57,0,180,660,0,1,0.0302,1,1,1,1
KXBTC15M-26APR231045-45,yes,52,79,8,52,97,38,360,240,97,1,0.1352,1,1,1,1
KXBTC15M-26APR231030-30,no,36,52,16,63,52,0,180,600,0,1,0.0104,1,1,1,1
KXBTC15M-26APR231015-15,yes,36,59,1,36,80,16,360,600,16,0,0.0385,1,1,1,1
KXBTC15M-26APR231000-00,no,27,44,17,62,94,26,720,0,94,0,0.0302,1,1,1,1
KXBTC15M-26APR230945-45,no,43,55,7,57,99,32,600,300,99,0,0.0205,1,1,1,1
KXBTC15M-26APR230930-30,no,47,78,31,50,100,46,720,0,100,0,0.1356,1,1,1,1
KXBTC15M-26APR230915-15,no,61,72,8,39,100,37,720,120,100,0,0.0807,1,1,1,1
KXBTC15M-26APR230845-45,yes,61,74,25,61,100,61,60,0,100,1,0.0277,1,1,1,1
KXBTC15M-26APR230830-30,no,78,88,10,22,99,56,720,540,99,0,0.1322,1,1,1,1
KXBTC15M-26APR230815-15,no,32,45,13,63,40,0,120,720,0,1,0.0143,0,1,1,1
KXBTC15M-26APR230800-00,yes,63,71,8,64,100,63,720,0,100,1,0.0794,1,1,1,1
KXBTC15M-26APR230745-45,yes,45,85,13,45,100,45,420,0,100,1,0.1024,1,1,1,1
KXBTC15M-26APR230730-30,no,50,63,10,50,52,0,0,660,0,1,0.0487,0,0,0,1
KXBTC15M-26APR230715-15,no,32,56,15,68,40,8,0,540,32,1,0.0362,0,1,1,1
KXBTC15M-26APR230700-00,no,32,58,1,68,87,2,420,660,2,1,0.0420,1,1,1,1
KXBTC15M-26APR230645-45,no,37,48,9,63,58,2,120,540,2,0,0.0129,1,1,1,1
KXBTC15M-26APR230630-30,no,28,56,28,72,28,0,0,720,0,1,0.0314,0,0,0,0
KXBTC15M-26APR230545-45,no,24,31,7,74,24,0,0,600,0,1,0.0746,0,0,0,0
KXBTC15M-26APR230530-30,yes,46,68,22,53,92,45,120,0,92,1,0.0329,1,1,1,1
KXBTC15M-26APR230515-15,no,68,76,7,32,100,68,660,0,100,0,0.1004,1,1,1,1
KXBTC15M-26APR230200-00,no,23,65,42,69,23,0,0,540,0,1,0.0542,0,0,0,0
KXBTC15M-26APR230145-45,no,65,83,15,35,98,65,600,0,98,0,0.0946,1,1,1,1
KXBTC15M-26APR230130-30,no,65,83,6,35,99,47,660,180,99,0,0.1262,1,1,1,1
KXBTC15M-26APR230115-15,yes,59,70,8,59,99,59,720,0,99,1,0.0721,1,1,1,1
KXBTC15M-26APR230100-00,no,59,72,9,41,70,1,240,720,1,1,0.0938,0,1,1,1
KXBTC15M-26APR230045-45,yes,64,70,1,64,100,64,720,0,100,1,0.1016,1,1,1,1
KXBTC15M-26APR230030-30,yes,37,47,10,40,73,3,300,660,8,0,0.0165,1,1,1,1
KXBTC15M-26APR230015-15,no,57,65,5,43,66,0,180,600,0,1,0.0701,1,1,1,1
KXBTC15M-26APR230000-00,no,23,34,11,71,54,0,120,720,0,1,0.0923,1,1,1,1
KXBTC15M-26APR222345-45,no,61,77,12,39,100,61,480,0,100,0,0.1403,1,1,1,1
KXBTC15M-26APR222330-30,no,65,70,2,35,99,65,660,0,99,0,0.1335,1,1,1,1
KXBTC15M-26APR222315-15,yes,42,56,12,42,62,0,60,660,0,0,0.0405,1,1,1,1
KXBTC15M-26APR222300-00,no,38,58,20,58,71,0,120,720,0,1,0.0480,1,1,1,1
KXBTC15M-26APR222245-45,yes,38,57,5,38,61,0,0,360,0,0,0.0386,1,1,1,1
KXBTC15M-26APR222215-15,no,60,71,1,40,100,60,660,0,100,0,0.1327,1,1,1,1
KXBTC15M-26APR222200-00,no,54,65,11,45,60,0,60,720,0,1,0.0957,0,1,0,1
KXBTC15M-26APR222145-45,yes,50,60,5,50,100,38,660,120,100,1,0.0646,1,1,1,1
KXBTC15M-26APR222130-30,no,55,75,7,45,98,35,240,420,97,0,0.1361,1,1,1,1
KXBTC15M-26APR222115-15,no,52,58,4,48,100,51,720,300,100,0,0.0827,1,1,1,1
KXBTC15M-26APR222100-00,no,49,64,8,51,80,43,660,300,80,0,0.1435,1,1,1,1
KXBTC15M-26APR222045-45,no,48,66,11,52,62,18,60,540,53,1,0.1439,0,1,1,1
KXBTC15M-26APR222030-30,yes,10,29,19,15,100,10,660,0,100,1,0.1302,1,1,1,1
KXBTC15M-26APR222015-15,no,16,60,44,81,100,15,240,0,100,0,0.0322,1,1,1,1
KXBTC15M-26APR222000-00,no,34,67,33,60,100,26,720,120,100,0,0.0794,1,1,1,1
