ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26MAR290345-45,yes,16,59,43.0,66626.17,66614.24,0.00018,0,0,-16.0,1.88,-17.88
KXBTC15M-26MAR290130-30,no,28,19,53.0,66636.12,66656.61,0.00031,0,1,72.0,2.82,69.18
KXBTC15M-26MAR290100-00,yes,18,55,37.0,66764.86,66759.15,0.00009,0,0,-18.0,2.07,-20.07
KXBTC15M-26MAR282345-45,yes,22,63,41.0,66965.56,66939.58,0.00039,0,0,-22.0,2.40,-24.40
KXBTC15M-26MAR282030-30,yes,10,35,25.0,66346.69,66367.84,0.00032,0,0,-10.0,1.26,-11.26
KXBTC15M-26MAR282000-00,yes,11,59,48.0,66393.38,66376.51,0.00025,0,0,-11.0,1.37,-12.37
KXBTC15M-26MAR281500-00,yes,24,68,44.0,66909.22,66890.92,0.00027,0,0,-24.0,2.55,-26.55
KXBTC15M-26MAR281445-45,yes,22,56,34.0,66869.07,66863.03,0.00009,1,1,78.0,2.40,75.60
KXBTC15M-26MAR281430-30,yes,12,65,53.0,66908.42,66890.70,0.00026,0,0,-12.0,1.48,-13.48
KXBTC15M-26MAR281400-00,yes,42,60,18.0,66792.28,66777.64,0.00022,1,1,58.0,3.41,54.59
KXBTC15M-26MAR281200-00,yes,18,50,32.0,67005.75,67005.01,0.00001,0,0,-18.0,2.07,-20.07
KXBTC15M-26MAR280900-00,no,6,63,31.0,66343.73,66325.00,0.00028,1,0,-6.0,0.79,-6.79
KXBTC15M-26MAR280515-15,yes,17,58,41.0,66363.57,66358.51,0.00008,0,0,-17.0,1.98,-18.98
KXBTC15M-26MAR280500-00,yes,13,56,43.0,66396.19,66389.92,0.00009,0,0,-13.0,1.58,-14.58
KXBTC15M-26MAR280300-00,yes,6,34,28.0,66394.97,66407.67,0.00019,0,0,-6.0,0.79,-6.79
KXBTC15M-26MAR280245-45,yes,22,61,39.0,66426.69,66417.31,0.00014,0,0,-22.0,2.40,-24.40
KXBTC15M-26MAR280115-15,yes,35,73,38.0,66225.10,66204.93,0.00030,0,0,-35.0,3.19,-38.19
KXBTC15M-26MAR272245-45,yes,16,52,36.0,66013.27,66008.95,0.00007,0,0,-16.0,1.88,-17.88
KXBTC15M-26MAR272100-00,yes,30,58,28.0,66426.66,66415.17,0.00017,0,0,-30.0,2.94,-32.94
KXBTC15M-26MAR272015-15,yes,26,46,20.0,66345.13,66350.34,0.00008,0,0,-26.0,2.69,-28.69
KXBTC15M-26MAR271915-15,yes,24,64,40.0,65996.45,65977.54,0.00029,1,1,76.0,2.55,73.45
KXBTC15M-26MAR271845-45,yes,11,43,32.0,65927.91,65938.08,0.00015,1,1,89.0,1.37,87.63
KXBTC15M-26MAR271815-15,yes,14,36,22.0,65995.85,66013.81,0.00027,0,0,-14.0,1.69,-15.69
KXBTC15M-26MAR271615-15,yes,20,60,40.0,66063.73,66046.40,0.00026,0,0,-20.0,2.24,-22.24
KXBTC15M-26MAR271430-30,yes,42,52,10.0,65575.53,65568.83,0.00010,1,1,58.0,3.41,54.59
KXBTC15M-26MAR271345-45,yes,38,56,18.0,65874.35,65852.90,0.00033,0,0,-38.0,3.30,-41.30
KXBTC15M-26MAR270830-30,yes,22,55,33.0,66648.60,66640.74,0.00012,0,0,-22.0,2.40,-24.40
KXBTC15M-26MAR270815-15,yes,48,61,13.0,66693.74,66676.03,0.00027,0,0,-48.0,3.49,-51.49
KXBTC15M-26MAR270715-15,yes,20,55,35.0,66492.69,66468.77,0.00036,1,1,80.0,2.24,77.76
KXBTC15M-26MAR270315-15,yes,16,45,29.0,68619.67,68624.12,0.00006,1,1,84.0,1.88,82.12
KXBTC15M-26MAR270300-00,yes,20,52,32.0,68708.55,68707.21,0.00002,0,0,-20.0,2.24,-22.24
KXBTC15M-26MAR270245-45,yes,8,45,37.0,68776.46,68785.95,0.00014,0,0,-8.0,1.03,-9.03
KXBTC15M-26MAR270200-00,yes,38,62,24.0,68602.38,68577.71,0.00036,1,1,62.0,3.30,58.70
KXBTC15M-26MAR270045-45,no,10,57,33.0,68510.38,68492.39,0.00026,1,0,-10.0,1.26,-11.26
KXBTC15M-26MAR262230-30,yes,11,39,28.0,69012.10,69025.37,0.00019,0,0,-11.0,1.37,-12.37
KXBTC15M-26MAR262145-45,yes,22,49,27.0,68868.68,68869.90,0.00002,0,0,-22.0,2.40,-24.40
KXBTC15M-26MAR261800-00,yes,17,42,25.0,68942.61,68958.16,0.00023,0,0,-17.0,1.98,-18.98
