ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR101900-00,no,5,62,33.0,72902.46,72886.47,0.00022,1,0,-5.0,0.67,-5.67
KXBTC15M-26APR101730-30,no,24,50,26.0,73100.00,73100.90,0.00001,1,0,-24.0,2.55,-26.55
KXBTC15M-26APR100830-30,yes,14,37,23.0,72087.80,72113.10,0.00035,0,0,-14.0,1.69,-15.69
KXBTC15M-26APR100745-45,no,12,66,22.0,72215.02,72197.69,0.00024,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR100730-30,no,10,66,24.0,72141.81,72124.94,0.00023,1,0,-10.0,1.26,-11.26
KXBTC15M-26APR100345-45,yes,49,73,24.0,71756.78,71735.73,0.00029,0,0,-49.0,3.50,-52.50
KXBTC15M-26APR100030-30,no,10,35,55.0,71882.80,71895.08,0.00017,1,0,-10.0,1.26,-11.26
KXBTC15M-26APR092330-30,yes,28,53,25.0,71909.12,71904.90,0.00006,0,0,-28.0,2.82,-30.82
KXBTC15M-26APR092230-30,yes,20,58,38.0,72250.58,72236.38,0.00020,0,0,-20.0,2.24,-22.24
KXBTC15M-26APR091615-15,no,44,46,10.0,72108.63,72117.71,0.00013,1,0,-44.0,3.45,-47.45
KXBTC15M-26APR091300-00,no,34,52,14.0,71977.95,71973.67,0.00006,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR091215-15,no,16,56,28.0,72160.55,72134.08,0.00037,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR091015-15,yes,5,61,56.0,70827.48,70803.68,0.00034,0,0,-5.0,0.67,-5.67
KXBTC15M-26APR090900-00,no,39,49,12.0,71213.79,71215.81,0.00003,1,0,-39.0,3.33,-42.33
KXBTC15M-26APR090845-45,yes,16,45,29.0,71263.04,71270.98,0.00011,0,0,-16.0,1.88,-17.88
KXBTC15M-26APR090830-30,yes,11,31,20.0,71188.11,71204.38,0.00023,1,1,89.0,1.37,87.63
KXBTC15M-26APR090800-00,yes,20,78,58.0,71198.92,71173.78,0.00035,0,0,-20.0,2.24,-22.24
KXBTC15M-26APR090645-45,yes,22,31,9.0,71394.18,71422.59,0.00040,0,0,-22.0,2.40,-24.40
KXBTC15M-26APR090530-30,yes,18,35,17.0,71305.54,71331.98,0.00037,0,0,-18.0,2.07,-20.07
KXBTC15M-26APR082330-30,yes,29,55,26.0,70995.25,70989.53,0.00008,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR082215-15,yes,36,44,8.0,70913.16,70923.27,0.00014,0,0,-36.0,3.23,-39.23
KXBTC15M-26APR082030-30,yes,12,38,26.0,71005.28,71020.30,0.00021,0,0,-12.0,1.48,-13.48
KXBTC15M-26APR081215-15,no,22,59,19.0,71320.63,71305.68,0.00021,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR080730-30,no,22,33,45.0,71627.42,71643.84,0.00023,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR080445-45,yes,14,52,38.0,71757.63,71755.83,0.00003,0,0,-14.0,1.69,-15.69
KXBTC15M-26APR080430-30,no,38,34,28.0,71698.46,71720.65,0.00031,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR080400-00,yes,6,39,33.0,71638.70,71651.89,0.00018,0,0,-6.0,0.79,-6.79
KXBTC15M-26APR080230-30,no,30,59,11.0,71827.78,71812.50,0.00021,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR080145-45,yes,50,63,13.0,71733.57,71720.28,0.00019,0,0,-50.0,3.50,-53.50
KXBTC15M-26APR072200-00,no,30,57,13.0,71493.39,71482.84,0.00015,0,1,70.0,2.94,67.06
KXBTC15M-26APR072115-15,yes,36,59,23.0,71717.06,71697.25,0.00028,1,1,64.0,3.23,60.77
KXBTC15M-26APR071515-15,no,34,57,9.0,68438.73,68427.63,0.00016,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR071245-45,yes,24,41,17.0,68344.29,68361.38,0.00025,0,0,-24.0,2.55,-26.55
KXBTC15M-26APR071215-15,yes,34,59,25.0,68167.36,68149.93,0.00026,0,0,-34.0,3.14,-37.14
KXBTC15M-26APR071145-45,yes,10,38,28.0,68135.42,68156.28,0.00031,0,0,-10.0,1.26,-11.26
KXBTC15M-26APR070945-45,yes,13,42,29.0,68457.70,68478.61,0.00031,0,0,-13.0,1.58,-14.58
KXBTC15M-26APR070845-45,yes,31,53,22.0,68407.78,68402.96,0.00007,0,0,-31.0,2.99,-33.99
KXBTC15M-26APR070400-00,yes,14,44,30.0,68658.08,68663.71,0.00008,0,0,-14.0,1.69,-15.69
KXBTC15M-26APR070030-30,yes,32,41,9.0,68620.20,68634.26,0.00020,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR070000-00,yes,36,56,20.0,68790.90,68777.73,0.00019,0,0,-36.0,3.23,-39.23
KXBTC15M-26APR062315-15,yes,38,57,19.0,68684.94,68670.00,0.00022,1,1,62.0,3.30,58.70
KXBTC15M-26APR061645-45,yes,12,38,26.0,69944.11,69966.72,0.00032,0,0,-12.0,1.48,-13.48
KXBTC15M-26APR061615-15,yes,18,36,18.0,69720.15,69740.81,0.00030,0,0,-18.0,2.07,-20.07
KXBTC15M-26APR061045-45,yes,26,56,30.0,69569.57,69550.37,0.00028,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR060845-45,no,23,53,24.0,69477.01,69472.79,0.00006,1,0,-23.0,2.48,-25.48
