ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR061415-15,BB_PURE_MEANREV,T600,yes,23,69607.02,69579.37,1,1,77.0,2.48,74.52
KXBTC15M-26APR060830-30,BB_PURE_MEANREV,T600,no,33,69500.48,69486.69,0,1,67.0,3.10,63.90
KXBTC15M-26APR060500-00,BB_PURE_MEANREV,T600,yes,17,69265.19,69282.32,0,0,-17.0,1.98,-18.98
KXBTC15M-26APR060200-00,BB_PURE_MEANREV,T600,yes,23,69220.61,69206.34,0,0,-23.0,2.48,-25.48
KXBTC15M-26APR052315-15,BB_PURE_MEANREV,T600,yes,11,69230.60,69233.08,0,0,-11.0,1.37,-12.37
KXBTC15M-26APR051745-45,BB_PURE_MEANREV,T600,yes,53,67474.41,67459.02,0,0,-53.0,3.49,-56.49
KXBTC15M-26APR051515-15,BB_PURE_MEANREV,T600,no,42,67375.77,67377.88,1,0,-42.0,3.41,-45.41
KXBTC15M-26APR051430-30,BB_PURE_MEANREV,T600,yes,23,67298.64,67310.23,0,0,-23.0,2.48,-25.48
KXBTC15M-26APR051200-00,BB_PURE_MEANREV,T600,yes,14,67406.71,67411.81,0,0,-14.0,1.69,-15.69
KXBTC15M-26APR051100-00,BB_PURE_MEANREV,T600,yes,16,66935.89,66944.39,0,0,-16.0,1.88,-17.88
KXBTC15M-26APR050930-30,BB_PURE_MEANREV,T600,no,7,66741.74,66765.27,0,1,93.0,0.91,92.09
KXBTC15M-26APR050630-30,BB_PURE_MEANREV,T600,yes,51,66985.21,66964.30,1,1,49.0,3.50,45.50
KXBTC15M-26APR050445-45,BB_PURE_MEANREV,T600,no,25,66882.36,66866.05,0,1,75.0,2.63,72.38
KXBTC15M-26APR050145-45,BB_PURE_MEANREV,T600,yes,32,67076.79,67078.11,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR050100-00,BB_PURE_MEANREV,T600,yes,5,67119.80,67120.02,0,0,-5.0,0.67,-5.67
KXBTC15M-26APR050015-15,BB_PURE_MEANREV,T600,yes,10,67119.47,67118.94,0,0,-10.0,1.26,-11.26
